name,ABA_routing,bank_country,account_number,IBAN,swift11,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Mark Lee,103433448,GB,QXJE62191263720934,GB48YSBH37726203563743,RAPXGBHW75V,12,87.62,1,0,Urban,1,Phone,Discount,0,0.9786035703897592
Paul Martin,072129799,GB,JEAG58460659559056,GB75ZMUY32370286113427,WWMZGBOUAD2,9,29.99,0,1,Urban,1,Web,No Offer,0,0.8070637774236193
Christine Larson,126224579,GB,IKDQ84112696782120,GB52ADJS06257734842184,QFVRGBIOEBK,1,398.71,1,0,Rural,0,Web,Buy One Get One,0,0.6804265098636753
James Cox,125254058,GB,ULJC50736619698944,GB37UNWW17326775165395,RUPQGBN6D0V,3,244.64,1,0,Surburban,0,Phone,Buy One Get One,0,1.1587999653504437
Samuel Lee,082143985,GB,HATY12197323285797,GB86FBBK56182288147364,LYRCGBLR82N,2,198.17,0,1,Urban,0,Phone,Buy One Get One,0,0.7095245166322853
Jacob Baldwin,085563575,GB,FPAX61910966963098,GB87SCDY37002640001000,ZEAIGBZGZ54,6,85.61,0,1,Urban,0,Web,Buy One Get One,0,1.0030168698420119
Nicole Martinez,059989651,GB,ZMFN21354972137296,GB59GIMS01827120609905,YPRAGBC3F8R,8,256.83,0,1,Urban,1,Web,No Offer,0,1.1996322064052385
Hannah Montgomery,036860094,GB,SRSY09168309462377,GB75XJPY71294525396130,FHMKGB0UWIX,1,856.4,0,1,Urban,1,Web,No Offer,0,0.8622065146824112
Christopher West,070138106,GB,SRCH30191824495214,GB76XIGG42404359513492,CXZAGB26KWS,10,29.99,0,1,Urban,0,Web,Buy One Get One,0,1.8251010144881894
Shawn Howell,037762861,GB,BNPM24302898815197,GB64MNAN14670158387205,LOPQGBZ5P80,2,196.93,0,1,Rural,1,Web,Buy One Get One,0,1.0034835270157862
Jessica Craig,056298280,GB,KQOI70986026421114,GB45DGTK15895467787022,QQVXGBLFEH0,9,483.16,1,1,Urban,0,Phone,Discount,1,1.8901482853075267
Andrew Ward DDS,014136313,GB,ETJW76610522954685,GB48XFRB57117338008254,LDGHGBBNFQM,7,84.49,0,1,Urban,1,Web,No Offer,0,0.35369640252747914
Tara Mccoy,107256883,GB,ZCBP40365110902393,GB96KMJR15022424261990,AOBSGBJ1JJN,12,150.06,0,1,Surburban,0,Phone,No Offer,0,1.0735423410746618
Corey Houston,079088969,GB,ZAUU59805405862381,GB43WFNH41438818732076,YVHNGB85RYQ,3,80.18,0,1,Urban,0,Phone,Buy One Get One,0,1.1179517037073932
Matthew Matthews,061323166,GB,QUAW07616310568494,GB52UJDR92372957852671,HUFXGBPXVQ2,2,44.37,0,1,Surburban,0,Web,Discount,0,0.7930768397946331
James Booth,128492985,GB,LAPH89610248254192,GB28KPUG27365495644138,PUBUGBOA42Q,10,108.12,1,0,Urban,0,Web,Buy One Get One,0,0.6629712431142653
Elizabeth Meyer,095046493,GB,TCMK74837170832811,GB32GDPM18042096019857,AEBTGB25JK2,1,293.37,1,0,Surburban,0,Phone,No Offer,0,0.6038048424487821
Dr. Mario Roman DDS,122276505,GB,CPGJ58456752255486,GB41XQYE95289624709429,VNKOGB9IH20,7,77.94,1,0,Surburban,1,Web,No Offer,0,0.8835852325373523
Thomas Newton,065755895,GB,CXKD29994389118156,GB42STYA34515002360071,TFVXGBZ3VCM,6,65.1,1,0,Urban,0,Phone,Discount,0,1.3281966987619613
Crystal Hill,013316134,GB,QXER75263078926411,GB86QTQH29395479374281,DADUGB21K8F,1,720.17,1,1,Urban,1,Phone,Discount,0,1.5463212263484536
Brandon Porter,091147503,GB,FYLP47736600780535,GB15CUMW92510154400455,NAJFGBZMF8H,5,777.95,1,0,Surburban,1,Web,No Offer,0,1.228979850249837
Tara Fletcher,092667532,GB,BJXG36471287865739,GB54LTTQ58873325375080,YKTXGBHDPYP,10,148.23,0,1,Urban,1,Phone,No Offer,0,1.3450559472360382
Miss Shari French,089613900,GB,GJLM26331142282874,GB66NMRI43168471409083,OWPIGB7MF54,1,211.45,0,1,Urban,1,Phone,Buy One Get One,0,0.9232049514682958
Angela Wallace,046400884,GB,WDYV27755299860520,GB31QEFV95133586362193,GMMMGBO0DNI,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,0.9897566464761501
Joseph Jones,065770100,GB,YXWJ45432598808950,GB64MFOG77606618320870,NVXRGBOK9U7,5,320.43,1,1,Surburban,0,Web,Buy One Get One,0,0.12577552452237883
Samuel Parker,083579024,GB,WBMZ43521654779531,GB55YBAZ75521411717825,VCXMGBXGN6S,9,179.43,0,1,Urban,0,Web,Buy One Get One,0,0.7031641357510348
Elizabeth Braun,096117127,GB,ORAD88518313305961,GB87SIIF67552010442330,BIFUGBLDHZP,9,329.96,0,1,Surburban,1,Phone,No Offer,0,0.5094078969849005
Alexandra Saunders,050196634,GB,RAAL54875629496746,GB85DGGE57850124682336,YZPFGBCSBKM,3,138.44,1,0,Urban,1,Phone,Buy One Get One,0,1.0164023302026026
Julian Brown,122616576,GB,TONI82619213685462,GB03RMEE96248760687509,SYLLGBI4FH3,3,454.0,0,1,Urban,0,Multichannel,Discount,0,1.437641141040833
Jill Brown,062718424,GB,GWKH40571212467973,GB57QWSP13438384349604,MVHWGBFJBBZ,2,762.0,1,0,Surburban,1,Web,Buy One Get One,0,0.6159303987609948
Troy Harris,044182405,GB,KQCL40575811867183,GB80EHXI40480616333108,TTCSGBP5O44,7,481.56,1,0,Surburban,0,Web,Discount,0,1.4463369673298063
Amanda King,010633098,GB,JRSH49708771672946,GB63YPQK70355262373075,GZPMGBH1VV6,4,317.96,0,1,Urban,0,Web,No Offer,0,0.8214635241341869
Paul Jordan,053951588,GB,KTTH87565645573666,GB13EVOQ88642462512103,EDUFGBYWSKB,2,29.99,0,1,Urban,1,Web,No Offer,0,0.5536416061835816
Alec Simmons,018332294,GB,BWNP48878527673947,GB87XUSZ89447363950621,BRWUGB86IK3,2,964.89,1,0,Surburban,1,Phone,No Offer,0,1.0139923940634008
