name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Jacqueline Vazquez,482 Morrison Forks,Port Betty,46896,(397)226-1726,Broadcast journalist,10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0,1.1726321548208498
Elizabeth Collins,3430 Martin Manors Suite 472,New Zacharyburgh,15390,+1-497-032-5710,Risk manager,6,329.08,1,1,Rural,1,Web,No Offer,0,1.9700352500881002
Brittany Ritter,5458 Mary Brook Apt. 590,Greenbury,16424,(199)253-4373,Herpetologist,7,180.65,0,1,Surburban,1,Web,Buy One Get One,0,0.8136936473023457
Mackenzie Hernandez,209 Brett Courts Apt. 704,Brianfort,44851,3537933047,Ship broker,9,675.83,1,0,Rural,1,Web,Discount,0,0.7936287808276539
Michael Davis,28189 Lyons Vista Suite 215,Bennettchester,54715,+1-049-638-2468x3523,Learning disability nurse,2,45.34,1,0,Urban,0,Web,Buy One Get One,0,0.10042581662883732
David Harris,723 Moore Course Suite 563,Lake Emilyburgh,38483,+1-040-634-0825,"Designer, television/film set",6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,2.4072960526175073
Michael Campbell,394 Rogers Ferry,Jeremytown,68523,647.282.2720,Technical author,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0,0.08877724047636548
Katrina Johnson,624 Thomas Views Suite 271,Browntown,89374,959-458-5174,Transport planner,9,46.42,0,1,Urban,0,Phone,Buy One Get One,0,0.7370925336816103
Kimberly Ramos,2230 Molly Mountains,Christianport,26206,+1-374-397-6024x0213,"Radiographer, diagnostic",9,675.07,1,1,Rural,1,Phone,Discount,0,1.055279898981255
Jennifer Walsh,307 Kathleen Harbor,North Jeffreyborough,98300,(979)230-1123x0413,Ceramics designer,10,32.84,0,1,Urban,1,Web,Buy One Get One,0,0.59026563819631
Carlos Harris,5003 Fuller Light Apt. 070,West Amandaville,61086,247-982-5658,"Sales professional, IT",7,548.91,0,1,Urban,1,Phone,Buy One Get One,1,2.5905948673637145
Stacy Scott,98419 Jackson Brooks,Lake Jamesside,63380,+1-630-320-1189x26026,"Doctor, hospital",1,211.45,0,1,Urban,1,Phone,Buy One Get One,0,1.5212685665714045
Katherine Dunn,83132 Heather Turnpike Suite 117,Snowshire,69881,694-308-2146x189,Furniture conservator/restorer,5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0,0.5218444795291473
Kimberly Davis,8349 Beard Spring,New Matthew,09642,009-423-3709x51998,Customer service manager,2,101.64,0,1,Urban,0,Web,Discount,1,1.8090720295658784
Justin Lopez,70499 Becky Forge,North Matthewchester,50652,663-356-2910,Theatre stage manager,4,241.42,0,1,Rural,1,Multichannel,No Offer,0,0.37450167094179354
Holly Lee,1541 Flores Viaduct,North Charles,08793,085-785-7560x1100,Dramatherapist,3,58.13,1,0,Urban,1,Web,No Offer,1,1.2677961098218868
Melinda Downs,2603 Gallagher Flats Apt. 645,Lake Brucefurt,63250,002-052-7618x06179,Chief Marketing Officer,5,29.99,1,0,Surburban,0,Phone,Discount,0,0.5467752716806498
Allison Perez,126 Pena Well Apt. 144,New Sherri,88567,+1-958-042-1851x91947,"Therapist, nutritional",9,112.35,1,0,Rural,0,Web,Discount,0,1.4069150986727388
Lauren Perkins,5535 Whitney Landing,Mcdonaldshire,94772,346-176-2979,Multimedia specialist,11,219.04,1,1,Surburban,0,Phone,Discount,0,1.012630676004096
Michelle Robinson MD,592 Ortiz Estates,Emilyview,48810,257-084-9335,Community arts worker,5,828.42,1,0,Surburban,1,Multichannel,Discount,0,1.1337516465314483
Shelia Hoffman,4632 Elizabeth Walk,Travisville,46806,444.090.2977,Armed forces operational officer,9,29.99,0,1,Surburban,1,Phone,No Offer,0,1.1282121053196472
Kari Mason,27564 Jennifer Fork Apt. 461,Manuelmouth,40324,001-784-963-0793x25173,Claims inspector/assessor,11,182.32,1,0,Surburban,0,Phone,Discount,0,1.30171866585112
Mallory Meyer,41212 Hinton Ford,North April,73758,(565)642-7882x511,Audiological scientist,2,118.4,1,0,Surburban,0,Web,Discount,1,2.1990149511704846
Lindsay Ramirez,676 Horn Harbor,Lake Vanessastad,62674,001-310-463-2878x826,Data processing manager,2,29.99,0,1,Urban,1,Phone,No Offer,0,0.7850223403902357
Tony Blair,62986 Nichols Forge Apt. 762,Johnsonport,83110,933-382-8765,Osteopath,4,78.24,1,0,Surburban,0,Web,No Offer,0,1.1724106454839447
Laura Crawford,16303 Sarah Stravenue,Ruizbury,50551,9519845903,Clinical cytogeneticist,6,139.87,0,1,Rural,1,Web,Discount,0,1.5261275677575976
Sarah White,1621 Weaver Locks Suite 257,New Tristan,29046,(352)544-8915x7899,"Nurse, children's",12,115.39,0,1,Surburban,0,Phone,Discount,1,2.1189025358451787
Michael Brown,9774 Hickman Crest Suite 010,Goldenview,81920,001-482-238-8303x5440,Probation officer,6,162.98,0,1,Surburban,0,Web,Discount,0,1.1691764746466953
John Reynolds,263 Christopher Hills,Johnsonmouth,34297,001-625-006-4563x130,"Accountant, chartered public finance",7,435.73,0,1,Urban,1,Web,No Offer,0,0.9608420788883891
Amanda Rosales,072 Tara Isle,West Johnstad,84938,637-022-7307,Physiotherapist,2,203.35,1,0,Rural,0,Web,No Offer,0,1.497636947708192
Brooke Dunn,133 Theresa Stream,Port Amberhaven,54045,187.025.0512,Commercial horticulturist,2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0,1.7671664622000667
Brittany Pierce,534 Stephanie Forge,East Brentmouth,74579,784-654-6765x747,"Engineer, chemical",9,334.24,1,0,Urban,0,Web,Discount,0,1.1382617144582978
Shelia Bird,601 Samantha Brook Apt. 913,Youngborough,15747,653-053-0968,Artist,6,128.01,0,1,Urban,0,Web,Discount,0,1.1894278350496934
Marcus Jones,289 Mason Village Apt. 045,Lake Nancy,63771,+1-758-156-8762x0199,Estate manager/land agent,9,29.99,1,0,Surburban,1,Phone,Discount,0,1.3235184701697433
Andrea Huynh,8457 Jennifer Plains,Joelfort,24098,061.204.1167,Occupational hygienist,3,29.99,1,0,Rural,0,Web,Buy One Get One,0,0.9133001203260603
Lisa Patel,65702 Hardy Divide,Wintersstad,04278,419.511.7443x1888,"Development worker, international aid",4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0,0.9137288264241854
Nicholas Lewis,475 Nichols Street,Richardville,14542,(124)640-8609x22545,Environmental education officer,1,514.52,0,1,Surburban,1,Web,Discount,0,1.586031211662225
Patrick Garza,4177 Debbie Crossing Apt. 981,South Douglasfurt,53029,742-520-1488,Hydrogeologist,4,766.47,1,1,Urban,1,Multichannel,Discount,0,1.0651138661106874
Frank Patterson,5994 Gibson Center Suite 419,East Dylanstad,63952,296-706-5317,Broadcast journalist,10,63.79,1,0,Rural,1,Phone,Buy One Get One,0,0.18590187812306025
Amanda Gamble,664 Davis Dale,New Tammyport,41592,(522)020-7938x578,Naval architect,7,520.43,0,1,Surburban,1,Web,Discount,0,0.7744959361752465
Danny Fisher,97646 Melissa Estates Apt. 382,Derekside,27633,+1-633-132-8755x579,Event organiser,11,236.97,1,1,Urban,1,Phone,Discount,0,0.21400423551034886
Tammy Alexander,70908 Harris Pass,New Paige,98666,(671)461-0525x25455,Police officer,3,99.23,1,0,Rural,0,Web,Discount,1,2.275014752806495
Kristina Henderson,46594 Christopher Turnpike Suite 245,Calebchester,71872,172-745-6923,"Engineer, site",9,204.18,0,1,Surburban,0,Web,Buy One Get One,0,1.516656777582369
Robert Marshall,18034 Frost Motorway,East Julie,12657,(506)489-2855x0107,Field trials officer,2,492.02,1,0,Surburban,0,Phone,No Offer,0,0.481227039821315
Collin Simpson,69479 Janet Skyway Apt. 757,Port Joseside,38349,910-547-1759x85377,"Civil engineer, consulting",1,48.32,0,1,Urban,0,Web,No Offer,0,0.6159402316900091
Elizabeth Thomas,2843 Nguyen Parkway Suite 818,Debraborough,38054,001-201-438-9064,"Surveyor, minerals",10,29.99,1,0,Surburban,0,Phone,No Offer,0,2.2040920551535343
David George,957 Thomas Dam,East Reneeburgh,13034,(289)066-3452,Glass blower/designer,2,391.33,1,0,Surburban,0,Web,No Offer,0,1.441112824851591
Hunter Nichols,0023 Donald Center,Bullocktown,12637,(303)179-7133x2770,Environmental consultant,1,729.7,1,1,Surburban,1,Web,Discount,0,1.2934873046886661
Jordan Morales,555 Nathaniel Lodge Apt. 524,Smithberg,91526,001-238-948-8654x4566,Gaffer,3,134.59,1,0,Urban,1,Phone,Buy One Get One,1,1.7666966659172298
Shannon Hart,3387 Ross Keys Suite 620,East Daniel,56981,(739)396-0158x1839,Medical illustrator,10,61.09,0,1,Surburban,0,Web,Buy One Get One,0,1.4829059542962633
Angela Golden,261 Roberts Ford,Rachelport,55338,+1-029-584-1139x15907,Consulting civil engineer,3,203.3,0,1,Surburban,0,Web,No Offer,0,1.1970970036443913
Steven Mckee,297 Preston Hills Suite 697,Jeremyville,89185,605-703-8369,Pathologist,9,185.43,1,0,Urban,0,Web,Discount,0,0.6377732474174889
Lisa Orozco,536 Kelly Camp Apt. 507,Jacksontown,72090,129-831-3327x88817,"Administrator, education",7,29.99,0,1,Urban,1,Phone,Discount,0,1.3395168924030778
Diane Eaton,9837 Robert Pine,South Jonathan,47572,+1-550-285-9156x65736,Make,9,78.62,1,0,Urban,0,Web,Discount,0,0.5775154621680487
Jacob Robinson,55334 Thomas Tunnel,Andrewsview,87737,281-195-5239x534,Product designer,12,150.06,0,1,Surburban,0,Phone,No Offer,0,0.8147756765575648
